id,name,artists
4kXDTeaXTJGRlyGQ15fhvA,Bang Bang - 3LAU Remix,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
1z3Q0Vv26kdsSc8KshjNWX,Bang Bang - Imanos & Gramercy Remix,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh', '26fsavNxrXVdRK7wL3jZKb', '6sTJFsZUkAAeoyLOlXkSof']"
2ZXwop8iShW8kkQwlReYu1,Bang Bang - Super Stylers Remix,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh', '5XDGvLfZrbqMrKnPbWKoxI']"
7HE1FnMtSsRotzIAQPXpr5,Love Me Harder,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
071IQ2wufBbCpB95z7VU7i,Love Me Harder - A Cappella,"['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']"
7I1IALTGkjzWa3fAmB3NAh,Bang Bang,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
6yVBEzJYg7olnFeH0vNsTw,Bang Bang - A Cappella,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
2S6WKsqvbcX8doRfCioFar,Bang Bang - Instrumental,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
2lOgTEwxmRPBtjp60opyRN,Break Free,"['66CXWjxzNUsdJxJ2JdwvnR', '2qxJFvFYMEDqd7ui6kSAcq']"
4XUkjZrKbmpzSMo5pX1n5m,Break Free - Instrumental,"['66CXWjxzNUsdJxJ2JdwvnR', '2qxJFvFYMEDqd7ui6kSAcq']"
0Ulu33I5L4zEg8VsrhsN8Z,Problem - Dawin Remix,"['66CXWjxzNUsdJxJ2JdwvnR', '5yG7ZAZafVaAlMTeBybKAL', '46GXASE9LHzyssNqKOInUu']"
